Estatus	Programa	Región	Área	Coordinación	Estado	Municipio	Localidad	Nombre	Sedes	Direcciones	Horarios	Rama Artística (DT)	Año de creación	Atención a las causas	Número promotores	Cantidad de participantes	Niñas	Niños	Mujeres Jóvenes	Hombres Jóvenes	Mujeres adultas	Hombres adultos	Personas con Discapacidad	Personas Indígenas	Personas Afromexicanas	lat	lon	Consecutivo	Municipio Concatenado	Cantidad de público participante	Número de sesiones	Proyecto PAICE	Presupuesto PAICE
Activo	Semilleros Creativos	Norte	DVEM	DGVC	Sonora	Guaymas	Rahum	Semillero Creativo de Bordado y Lengua Yaqui en Rahum, en Guaymas, Sonora	Centro de Atención de la Mujer Indígena (CAMI)	Domicilio Conocido Rahum, Guaymas, Sonora, CP. 85513	Lunes a viernes de 14 a 18 h.	Artesanía	2023	No		26										27.6436362	-110.4529202	351	SonoraGuaymas				
Activo	Semilleros Creativos	Norte	DVEM	DGVC	Sonora	Guaymas	Tórim	Semillero Creativo de Danza y Música (Tórim), en Guaymas, Sonora	Centro Asistencial de Desarrollo Infantil CAD Ilichoky	Domicilio conocido Tórim S/N, Guaymas, Sonora. CP 85513	Lunes a viernes 15 a 18 hrs y sábados de 10 a 15 hr.	Saberes tradicionales	2023	No		32										27.5790712	-110.2284182	352	SonoraGuaymas				
Activo	Semilleros Creativos	Norte	DVEM	DGVC	Sonora	Guaymas	Vícam (Switch)	Semillero Creativo de Dibujo y Pintura en Cultura Yaqui en Guaymas, Sonora	Biblioteca Pública Benito Juárez	Severiano Puertas Quintero, S/N, loc. Vicam, Guaymas, Sonora C.P 85510	Lunes a viernes de 15 a 18:30 h	Saberes tradicionales	2023	No		28										27.6454853	-110.2970933	353	SonoraGuaymas				
Activo	Semilleros Creativos	Norte	DVEM	DGVC	Sonora	Guaymas	Vícam (Switch)	Semillero Creativo de Música y Danza -Cultura Yaqui (Vícam), en Guaymas, Sonora	Biblioteca Pública Benito Juárez	Severiano Puertas Quintero, S/N, loc. Vicam, Guaymas, Sonora C.P 85510	Martes, jueves y viernes de 15 a 19 h. y sábados de 9 a 15 h.	Saberes tradicionales	2020	No		35										27.6454853	-110.2970933	354	SonoraGuaymas				
Activo	Semilleros Creativos	Norte	DVEM	DGVC	Sonora	Hermosillo	Punta Chueca	Semillero Creativo de Danza y Cantos Seris en Punta Chueca, en Hermosillo, Sonora	Centro de Cultura Coyote Iguana	S/N, Punta Chueca, Hermosillo, Sonora, CP. 83337	Lunes a viernes de 14 a 18 h.	Saberes tradicionales	2022	No		15										29.013612	-112.1608617	355	SonoraHermosillo				
Activo	Semilleros Creativos	Norte	DVEM	DGVC	Sonora	Navojoa	Masiaca	Semillero Creativo de Fotografía en Navojoa, Sonora	"Sede 1. Casa Escolar de la Niñez Indígena Román Yocupicio
Sede 2. Cocina Tradicional en Choacalle (Turym)"	"Sede 1. Av. Román Yocupicio entre Calle Eulogio Ortega y Calle Nayarit, S/N, Masiaca, Navojoa, Sonora, CP. 85220
Sede 2. Choacalle, Masiaca, Navojoa, Sonora, CP. 85220"	"Sede 1. lunes y miércoles de 14 a 18 h. 
Sede 2. Martes, jueves y viernes de 14 a 18 h."	Artes Visuales	2020	No		90										26.7637897	-109.2376183	356	SonoraNavojoa				
Activo	Semilleros Creativos	Norte	DVEM	DGVC	Sonora	Navojoa	Navojoa	Semillero Creativo de Teatro en Navojoa, Sonora	Instituto Tecnológico de Sonora Unidad Navojoa	Av. Nicolas Bravo, esq. con Calle García Morales, S/N, Colonia Centro, Navojoa, Sonora, CP.85800	Lunes a viernes de 15 a 19 h.	Artes Escénicas	2020	No		49										27.0742432	-109.4469703	357	SonoraNavojoa				
Activo	Semilleros de Música	Norte	SNFM	SNFM	Baja California	Ensenada	Ensenada	Semillero Coro Comunitario en Movimiento "Caracoles"	Centro Mutualista	Av. Obregón No. 401 y Calle Mutualismo apartado No. 64, Ensenada Baja California.	Lunes, martes, miércoles y jueves de 15:30 hrs a 18:30 hrs	Formación musical	2022	No		10	4	4	2	0	0	0	0	0	0	31.8683651	-116.6270385	358	Baja CaliforniaEnsenada				
Activo	Semilleros de Música	Norte	SNFM	SNFM	Baja California	Ensenada	Ensenada	Semillero Orquesta Sinfónica Comunitaria "Forjadores el Sauzal"	Escuela "Abelardo L. Rodríguez"	Calzada Emiliano Zapata 114, El Sauzal De Rodríguez, Ensenada, Baja California, C.P 22760.	Lunes a viernes de 16:00 a 19:00 h	Formación musical	2008	No		58	25	13	13	6	1	0	0	0	0	31.8984697	-116.6996886	359	Baja CaliforniaEnsenada				
Activo	Semilleros de Música	Norte	SNFM	SNFM	Baja California	Mexicali	Mexicali	Semillero Orquesta Sinfónica Comunitaria Centinela	Escuela de Música Auka	Blvd. Río Nuevo 3, Calzada De Los Presidentes, Mexicali, Baja California, C.P 21120.	Lunes a viernes de 16:00 a 19:00 h | Sábado 09:00 a 12:00 h (percusiones)	Formación musical	2014	No		146	40	28	53	25	0	0	0	0	0	32.6519086	-115.4856038	360	Baja CaliforniaMexicali				
